0,1,2,3,4,5
0.011,0.0458,0.357,0.5508,0.0354,7.0
0.0097,0.0207,0.0557,0.32,0.5939,10.0
0.0058,0.0178,0.1505,0.6397,0.1862,9.0
0.0066,0.0321,0.085,0.5762,0.3001,10.0
0.0484,0.0883,0.0933,0.2916,0.4784,10.0
0.0076,0.0315,0.112,0.5256,0.3232,10.0
0.0026,0.0061,0.0214,0.2812,0.6888,10.0
0.0431,0.3085,0.4729,0.1604,0.015,7.0
0.0047,0.0777,0.5567,0.3494,0.0115,9.0
0.0803,0.25,0.2313,0.3002,0.1381,10.0
0.0031,0.009,0.0453,0.4626,0.4799,10.0
0.0063,0.0227,0.1672,0.7341,0.0697,9.0
0.0012,0.0052,0.069,0.6917,0.2329,10.0
0.0065,0.1418,0.8015,0.0489,0.0013,5.0
0.0072,0.0232,0.0974,0.5705,0.3018,9.0
0.0009,0.0033,0.0544,0.7228,0.2186,9.0
0.0014,0.007,0.0845,0.7571,0.15,9.0
0.0012,0.0042,0.05,0.5928,0.3518,8.0
0.0133,0.0191,0.0662,0.3604,0.5411,9.0
0.0018,0.0071,0.0836,0.6577,0.2498,10.0
0.0662,0.5451,0.3381,0.0483,0.0023,9.0
0.0799,0.2702,0.2853,0.2633,0.1014,9.0
0.0039,0.0225,0.1142,0.448,0.4114,10.0
0.0226,0.1477,0.4603,0.3331,0.0362,8.0
0.0222,0.1228,0.3206,0.4438,0.0906,8.0
0.0059,0.0276,0.1646,0.6907,0.1111,9.0
0.0015,0.016,0.4852,0.4738,0.0234,7.0
0.0016,0.0087,0.0681,0.9052,0.0163,8.0
0.0209,0.1168,0.3648,0.4184,0.0791,3.0
0.003,0.0106,0.1063,0.6383,0.2418,9.0
0.0018,0.02,0.3628,0.6024,0.013,8.0
0.0272,0.2701,0.545,0.1449,0.0128,9.0
0.0107,0.0938,0.4623,0.3804,0.0528,7.0
0.0453,0.3571,0.4081,0.1682,0.0213,9.0
0.0125,0.069,0.26,0.5321,0.1263,10.0
0.0013,0.0064,0.0978,0.7059,0.1887,10.0
0.1792,0.1496,0.4057,0.2046,0.061,7.0
0.0012,0.0061,0.1066,0.7455,0.1407,9.0
0.0084,0.0214,0.0436,0.3262,0.6002,8.0
0.0021,0.0039,0.0205,0.349,0.6245,9.0
0.0018,0.0275,0.4418,0.5044,0.0246,7.0
0.0032,0.0247,0.2298,0.6083,0.134,7.0
0.0073,0.048,0.2664,0.5609,0.1174,10.0
0.0046,0.0346,0.2233,0.665,0.0725,10.0
0.0042,0.0155,0.0759,0.6378,0.2666,8.0
0.1159,0.3631,0.3072,0.1797,0.0341,8.0
0.0064,0.0126,0.043,0.3793,0.5588,9.0
0.001,0.0019,0.01,0.2531,0.7339,10.0
0.3655,0.3565,0.1866,0.0698,0.0217,9.0
0.0583,0.0496,0.0564,0.1737,0.662,8.0
0.0013,0.0072,0.0895,0.7315,0.1705,10.0
0.0007,0.0009,0.008,0.1767,0.8138,8.0
0.604,0.3004,0.0563,0.0201,0.0192,10.0
0.0249,0.0567,0.1497,0.4864,0.2823,10.0
0.0186,0.0794,0.3299,0.4774,0.0948,9.0
0.0312,0.0753,0.1303,0.43,0.3332,10.0
0.0983,0.2538,0.2554,0.2647,0.1277,10.0
0.0547,0.0956,0.1096,0.2939,0.4462,10.0
0.0166,0.0735,0.2532,0.5519,0.1048,8.0
0.0119,0.0823,0.2211,0.5367,0.148,10.0
0.0015,0.0053,0.0492,0.7395,0.2045,9.0
0.0082,0.0866,0.5149,0.3579,0.0324,6.0
0.0171,0.0531,0.0739,0.3415,0.5143,10.0
0.0815,0.3493,0.3364,0.1905,0.0423,7.0
0.001,0.0036,0.0288,0.8135,0.1531,8.0
0.0068,0.0242,0.1161,0.4703,0.3825,9.0
0.1427,0.3337,0.29,0.1933,0.0403,10.0
0.0068,0.0156,0.0362,0.3167,0.6247,10.0
0.0127,0.0287,0.0791,0.3374,0.5422,10.0
0.0678,0.1226,0.1585,0.3775,0.2735,10.0
0.0007,0.0047,0.0919,0.8036,0.0991,9.0
0.0012,0.0025,0.0209,0.3616,0.6138,10.0
0.003,0.0036,0.0071,0.0487,0.9376,10.0
0.0083,0.014,0.0268,0.2123,0.7386,10.0
0.3524,0.5834,0.0587,0.0036,0.0019,3.0
0.0054,0.0825,0.6139,0.2895,0.0086,8.0
0.0055,0.0215,0.9638,0.0074,0.0017,3.0
0.0034,0.0197,0.1392,0.6891,0.1486,10.0
0.0181,0.1094,0.3745,0.4281,0.0699,10.0
0.0044,0.0106,0.0662,0.4071,0.5118,10.0
0.1781,0.2034,0.1418,0.1867,0.29,10.0
0.3764,0.2266,0.1514,0.1062,0.1394,10.0
0.0032,0.013,0.0814,0.5,0.4024,10.0
0.0413,0.3729,0.477,0.0995,0.0093,9.0
0.0558,0.0863,0.1586,0.3966,0.3027,8.0
0.0228,0.1266,0.3333,0.442,0.0753,7.0
0.0011,0.002,0.0074,0.1388,0.8507,10.0
0.0126,0.0597,0.312,0.5358,0.08,8.0
0.0526,0.434,0.4139,0.091,0.0086,7.0
0.0022,0.0076,0.1126,0.6107,0.2669,9.0
0.0034,0.0052,0.0105,0.1568,0.8241,10.0
0.0054,0.049,0.2263,0.6282,0.0911,8.0
0.034,0.0405,0.1043,0.4501,0.3711,10.0
0.0157,0.1121,0.383,0.4333,0.0558,8.0
0.001,0.0035,0.0565,0.6578,0.2811,9.0
0.5182,0.2315,0.0804,0.0681,0.1018,10.0
0.0012,0.0041,0.0173,0.2321,0.7453,10.0
0.0018,0.003,0.0095,0.1132,0.8724,8.0
0.0031,0.0029,0.0054,0.0614,0.9272,9.0
0.0015,0.0037,0.0141,0.2533,0.7275,9.0
0.0176,0.1505,0.4684,0.3417,0.0217,7.0
0.0097,0.1523,0.6406,0.1945,0.0029,7.0
0.0204,0.0099,0.0068,0.038,0.9249,10.0
0.0026,0.0097,0.0662,0.5218,0.3997,10.0
0.0075,0.1045,0.8688,0.0183,0.001,2.0
0.0355,0.5508,0.4014,0.0117,0.0006,7.0
0.0728,0.6244,0.2939,0.0082,0.0007,7.0
0.0831,0.5639,0.3283,0.0227,0.002,4.0
0.0048,0.0094,0.0419,0.292,0.652,10.0
0.1247,0.4023,0.2918,0.1394,0.0418,10.0
0.0015,0.0028,0.0105,0.1508,0.8344,9.0
0.0009,0.0015,0.0117,0.2343,0.7516,10.0
0.0275,0.2591,0.5161,0.1792,0.0183,10.0
0.0517,0.1857,0.2947,0.3804,0.0875,10.0
0.0424,0.0794,0.1284,0.3551,0.3946,10.0
0.0064,0.0342,0.1067,0.5688,0.2839,10.0
0.0018,0.0033,0.0237,0.3038,0.6675,10.0
0.0032,0.0083,0.0403,0.3634,0.5847,10.0
0.0596,0.1147,0.2475,0.338,0.2402,10.0
0.1507,0.4771,0.2816,0.067,0.0236,7.0
0.039,0.1039,0.2967,0.4554,0.105,10.0
0.0037,0.0028,0.0031,0.0433,0.9471,10.0
0.0186,0.1526,0.5272,0.2755,0.0262,9.0
0.0058,0.0449,0.2527,0.5922,0.1044,10.0
0.0018,0.0019,0.0026,0.0343,0.9594,10.0
0.0603,0.3487,0.4463,0.1324,0.0123,4.0
0.8841,0.1089,0.0053,0.0008,0.0009,1.0
0.0148,0.0268,0.0727,0.3501,0.5356,9.0
0.1514,0.5282,0.2625,0.0516,0.0062,6.0
0.2353,0.168,0.1436,0.1896,0.2634,10.0
0.0009,0.0011,0.0023,0.0417,0.954,10.0
0.0009,0.0015,0.0052,0.1351,0.8573,9.0
0.0162,0.0904,0.2207,0.5055,0.1672,10.0
0.0144,0.0691,0.1923,0.5415,0.1827,6.0
0.0767,0.3537,0.3632,0.1673,0.0392,0.0
0.0212,0.076,0.1896,0.4595,0.2538,10.0
